Player,height,weight,college,born,birth_city,birth_state,Geo_code,Latitude,Longitude
Jeff Lamp,198,88,University of Virginia,1959,Minneapolis,Minnesota,"46.729553, -94.6858998",46.729553,-94.6858998
Rock Lee,193,87,University of Oregon,1952,Boston,Massachusetts,"42.4072107, -71.3824374",42.4072107,-71.3824374
Alton Lister,213,108,Arizona State University,1958,Dallas,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Rudy Macklin,201,92,Louisiana State University,1958,Louisville,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Mark Radford,193,86,Oregon State University,1959,Tacoma,Washington,"47.7510741, -120.7401385",47.7510741,-120.7401385
Al Wood,198,87,University of North Carolina,1958,Gray,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Orlando Woolridge,206,97,University of Notre Dame,1959,Bernice,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Rich Yonakor,206,99,University of North Carolina,1958,Euclid,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Dave Batton,208,108,University of Notre Dame,1956,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Mark Eaton,224,124,"University of California, Los Angeles",1957,Westminster,California,"36.778261, -119.4179324",36.778261,-119.4179324
Mark McNamara,211,106,University of California,1959,San Jose,California,"36.778261, -119.4179324",36.778261,-119.4179324
Audie Norris,206,104,Jackson State University,1960,Jackson,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Ricky Pierce,193,92,Rice University,1959,Dallas,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Paul Pressey,196,83,University of Tulsa,1958,Richmond,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Jose Slaughter,196,92,University of Portland,1960,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
David Thirdkill,201,88,Bradley University,1960,St. Louis,Missouri,"37.9642529, -91.8318334",37.9642529,-91.8318334
Corny Thompson,203,102,University of Connecticut,1960,Middletown,Connecticut,"41.6032207, -73.087749",41.6032207,-73.087749
LaSalle Thompson,208,111,University of Texas at Austin,1961,Cincinnati,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Linton Townes,201,86,James Madison University,1959,Richmond,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Rory White,203,95,University of South Alabama,1959,Tuskegee,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
James Worthy*,206,102,University of North Carolina,1961,Gastonia,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Howard Carter,196,97,Louisiana State University,1961,Baton Rouge,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Byron Scott,190,88,Arizona State University,1961,Ogden,Utah,"39.3209801, -111.0937311",39.3209801,-111.0937311
Jon Sundvold,188,77,University of Missouri,1961,Sioux Falls,South Dakota,"43.9695148, -99.9018131",43.9695148,-99.9018131
Michael Wilson,193,79,Marquette University,1959,Memphis,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Ken Bannister,206,106,Saint Augustine's College,1960,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Tony Brown,198,83,University of Arkansas,1960,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Tony Campbell,201,97,Ohio State University,1962,Teaneck,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Vern Fleming,196,83,University of Georgia,1962,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Sam Perkins,206,106,University of North Carolina,1961,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Bernard Thompson,198,95,"California State University, Fresno",1962,Phoenix,Arizona,"34.0489281, -111.0937311",34.0489281,-111.0937311
Danny Young,190,79,Wake Forest University,1962,Raleigh,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Michael Young,201,99,University of Houston,1961,Houston,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Ron Crevier,213,106,Boston College,1958,Montreal,Canada,"56.130366, -106.346771",56.130366,-106.346771
Joe Dumars*,190,86,McNeese State University,1963,Shreveport,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Patrick Ewing*,213,108,Georgetown University,1962,Kingston,Jamaica,"18.109581, -77.297508",18.109581,-77.297508
Perry Moss,188,83,Northeastern University,1958,Tucson,Arizona,"34.0489281, -111.0937311",34.0489281,-111.0937311
Michael Phelps,193,81,Alcorn State University,1961,Vicksburg,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Carey Scurry,201,85,Long Island University,1962,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Mike Smrek,213,113,Canisius College,1962,Welland,Canada,"56.130366, -106.346771",56.130366,-106.346771
Alex Stivrins,203,99,University of Colorado,1962,Lincoln,Nebraska,"41.4925374, -99.9018131",41.4925374,-99.9018131
Greg Stokes,208,99,University of Iowa,1963,New Haven,Connecticut,"41.6032207, -73.087749",41.6032207,-73.087749
Greg Dreiling,216,113,University of Kansas,1962,Wichita,Kansas,"39.011902, -98.4842465",39.011902,-98.4842465
Myron Jackson,190,83,University of Arkansas at Little Rock,1964,Hamburg,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Larry Krystkowiak,206,99,University of Montana,1964,Missoula,Montana,"46.8796822, -110.3625658",46.8796822,-110.3625658
Dwayne Polee,196,81,Pepperdine University,1963,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Brad Sellers,213,95,Ohio State University,1962,Warrensville Heights,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
McKinley Singleton,196,79,University of Alabama at Birmingham,1961,Memphis,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Perry Young,196,95,Virginia Polytechnic Institute and State University,1963,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Winston Crite,201,105,Texas A&M University,1965,Bakersfield,California,"36.778261, -119.4179324",36.778261,-119.4179324
Chris Dudley,188,81,University of Washington,1950,Harrisburg,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Mark Jackson,185,81,St. John's University,1965,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Michael Jackson,201,97,"California State University, Los Angeles",1949,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Kannard Johnson,206,99,Western Kentucky University,1965,Cincinnati,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Ronnie Murphy,196,102,Jacksonville University,1964,Dover,Delaware,"38.9108325, -75.52766989999999",38.9108325,-75.5276699
Martin Nessley,218,117,Duke University,1965,Columbus,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
John Stroeder,208,117,University of Montana,1958,Bremerton,Washington,"47.7510741, -120.7401385",47.7510741,-120.7401385
Phil Zevenbergen,208,104,University of Washington,1964,Seattle,Washington,"47.7510741, -120.7401385",47.7510741,-120.7401385
Ricky Berry,203,92,San Jose State University,1964,Lansing,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Kevin Edwards,190,86,DePaul University,1965,Cleveland Heights,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Duane Ferrell,201,94,Georgia Institute of Technology,1965,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Orlando Graham,203,99,Auburn University at Montgomery,1965,Montgomery,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Sylvester Gray,198,104,University of Memphis,1967,Millington,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Vernon Maxwell,193,81,University of Florida,1965,Gainesville,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Dominic Pressley,188,77,Boston College,1964,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Rod Strickland,196,90,Jacksonville University,1940,Jacksonville,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Terry Dozier,206,95,University of South Carolina,1966,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Pervis Ellison,206,95,University of Louisville,1967,Savannah,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Tom Hammonds,206,97,Georgia Institute of Technology,1967,Fort Walton,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Byron Irvin,196,86,University of Missouri,1966,LaGrange,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Nate Johnston,203,95,University of Tampa,1966,Birmingham,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Mike Morrison,193,88,Loyola College in Maryland,1967,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Brian Quinnett,203,106,Washington State University,1966,Pullman,Washington,"47.7510741, -120.7401385",47.7510741,-120.7401385
Glen Rice,201,97,University of Michigan,1967,Jacksonville,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Delaney Rudd,188,81,Wake Forest University,1962,Halifax,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Haywoode Workman,188,81,Oral Roberts University,1966,Charlotte,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Keith Askins,201,89,University of Alabama,1967,Athens,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Anthony Bonner,203,97,Saint Louis University,1968,St. Louis,Missouri,"37.9642529, -91.8318334",37.9642529,-91.8318334
Richard Coffey,198,96,University of Minnesota,1965,Aurora,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Kendall Gill,196,88,University of Illinois at Urbana-Champaign,1968,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Dave Jamerson,196,86,Ohio University,1967,Clarksburg,West Virginia,"38.5976262, -80.4549026",38.5976262,-80.4549026
Alec Kessler,211,104,University of Georgia,1967,Minneapolis,Minnesota,"46.729553, -94.6858998",46.729553,-94.6858998
Bo Kimble,193,86,Loyola Marymount University,1966,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Kurk Lee,190,86,Towson University,1967,Baltimore,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Marcus Liberty,203,92,University of Illinois at Urbana-Champaign,1968,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Ian Lockhart,203,108,University of Tennessee,1967,Nassau,Bahamas,"25.03428, -77.39627999999999",25.03428,-77.39628
Travis Mays,188,86,University of Texas at Austin,1968,Ocala,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Alan Ogg,218,108,University of Alabama at Birmingham,1967,Lancaster,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Loy Vaught,206,104,University of Michigan,1968,Grand Rapids,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Kennard Winchester,196,95,Averett University,1966,Chestertown,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Myron Brown,190,81,Slippery Rock University of Pennsylvania,1969,McKees Rocks,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Pete Chilcutt,208,104,University of North Carolina,1968,Sumter,South Carolina,"33.836081, -81.1637245",33.836081,-81.1637245
Marty Conlon,208,101,Providence College,1968,Bronx,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Corey Crowder,196,97,Kentucky Wesleyan College,1969,Carrollton,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Dale Davis,211,104,Clemson University,1969,Toccoa,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
LeRon Ellis,208,95,St. John's University,1940,Far Rockaway,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Rick Fox,201,104,University of North Carolina,1969,Toronto,Canada,"56.130366, -106.346771",56.130366,-106.346771
Chris Gatling,208,99,Old Dominion University,1967,Elizabeth,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Brian Howard,198,92,North Carolina State University,1967,Winston-Salem,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Rich King,218,117,University of Nebraska,1969,Lincoln,Nebraska,"41.4925374, -99.9018131",41.4925374,-99.9018131
Doug Lee,196,90,Purdue University,1964,Washington,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Jimmy Oliver,196,92,Purdue University,1969,Menifee,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Billy Owens,203,99,Syracuse University,1969,Carlisle,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Charles Thomas,190,79,Eastern Michigan University,1969,Dayton,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Jon Barry,193,88,Georgia Institute of Technology,1969,Oakland,California,"36.778261, -119.4179324",36.778261,-119.4179324
Tony Bennett,183,79,University of Wisconsin-Green Bay,1969,Green Bay,Wisconsin,"43.7844397, -88.7878678",43.7844397,-88.7878678
Duane Cooper,185,83,University of Southern California,1969,Benton Harbor,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Matt Geiger,213,110,Georgia Institute of Technology,1969,Salem,Massachusetts,"42.4072107, -71.3824374",42.4072107,-71.3824374
Robert Horry,206,99,University of Alabama,1970,Andalusia,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Jim Jackson,198,99,Ohio State University,1970,Toledo,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Anthony Peeler,193,94,University of Missouri,1969,Kansas City,Missouri,"37.9642529, -91.8318334",37.9642529,-91.8318334
Malik Sealy,203,86,St. John's University,1970,Bronx,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Bryant Stith,196,94,University of Virginia,1970,Emporia,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Corey Williams,188,86,Oklahoma State University,1970,Twiggs,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Brian Davis,190,81,University of Maryland,1955,Monaca,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Dell Demps,190,92,University of the Pacific,1970,Long Beach,California,"36.778261, -119.4179324",36.778261,-119.4179324
Greg Graham,193,78,Indiana University,1970,Indianapolis,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
David Wesley,183,86,Baylor University,1970,San Antonio,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Darrell Armstrong,183,77,Fayetteville State University,1968,Gastonia,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Yinka Dare,213,120,George Washington University,1972,Kano,Nigeria,"9.081999, 8.675277",9.081999,8.675277
Darrin Hancock,201,92,University of Kansas,1971,Birmingham,Alabama,"32.3182314, -86.902298",32.3182314,-86.902298
Juwan Howard,206,108,University of Michigan,1973,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Jason Kidd,193,92,University of California,1973,San Francisco,California,"36.778261, -119.4179324",36.778261,-119.4179324
Antonio Lang,211,111,University of Arkansas,1966,Pine Bluff,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Khalid Reeves,190,90,University of Arizona,1972,Queens,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Trevor Ruffin,185,83,University of Hawaii,1970,Buffalo,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Mark Strickland,206,95,Temple University,1970,Atlanta,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Aaron Swinson,196,104,Auburn University,1971,Brunswick,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Fred Vinson,193,86,Georgia Institute of Technology,1971,Murfreesboro,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Charlie Ward,188,86,Florida State University,1970,Thomasville,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Dontonio Wingfield,203,116,University of Cincinnati,1974,Albany,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Jerome Allen,193,83,University of Pennsylvania,1973,Philadelphia,Pennsylvania,"41.2033216, -77.1945247",41.2033216,-77.1945247
Brent Barry,198,83,Oregon State University,1971,Hempstead,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Mario Bennett,198,106,Arizona State University,1973,Denton,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Travis Best,180,82,Georgia Institute of Technology,1972,Springfield,Massachusetts,"42.4072107, -71.3824374",42.4072107,-71.3824374
Melvin Booker,185,83,University of Missouri,1972,Pascagoula,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Donnie Boyce,196,88,University of Colorado,1973,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
John Coker,213,114,Boise State University,1971,Richland,Washington,"47.7510741, -120.7401385",47.7510741,-120.7401385
Andrew DeClercq,208,104,University of Florida,1973,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Thomas Hamilton,218,149,University of Pittsburgh,1975,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Frankie King,185,83,Western Carolina University,1972,Baxley,Georgia,"32.1656221, -82.9000751",32.1656221,-82.9000751
Loren Meyer,208,116,Iowa State University,1972,Emmetsburg,Iowa,"41.8780025, -93.097702",41.8780025,-93.097702
Ed O'Bannon,203,100,"University of California, Los Angeles",1972,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Greg Ostertag,218,127,University of Kansas,1973,Dallas,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Bryant Reeves,213,124,Oklahoma State University,1973,Fort Smith,Arkansas,"35.20105, -91.8318334",35.20105,-91.8318334
Terrence Rencher,190,83,University of Texas at Austin,1973,Bronx,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Damon Stoudamire,178,77,University of Arizona,1973,Portland,Oregon,"43.8041334, -120.5542012",43.8041334,-120.5542012
George Zidek,213,113,"University of California, Los Angeles",1973,Zlin,Czech Republic,"49.81749199999999, 15.472962",49.817492,15.472962
Jimmy Carruth,208,120,Virginia Polytechnic Institute and State University,1969,El Paso,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Erick Dampier,211,120,Mississippi State University,1975,Jackson,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Ben Davis,206,108,University of Arizona,1972,Vero Beach,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Evric Gray,201,106,"University of Nevada, Las Vegas",1969,Bloomington,California,"36.778261, -119.4179324",36.778261,-119.4179324
Michael Hawkins,183,80,Xavier University,1972,Canton,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Randy Livingston,193,94,Louisiana State University,1975,New Orleans,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Amal McCaskill,211,106,Marquette University,1973,Maywood,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Ruben Nembhard,190,94,Weber State University,1972,Bronx,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Kevin Salvadori,213,104,University of North Carolina,1970,Wheeling,West Virginia,"38.5976262, -80.4549026",38.5976262,-80.4549026
Matt Steigenga,201,102,Michigan State University,1970,Grand Rapids,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Jerome Williams,206,93,Georgetown University,1973,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Tony Battie,211,104,Texas Tech University,1976,Dallas,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Rick Brunson,193,86,Temple University,1972,Syracuse,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Tony Farmer,206,110,University of Nebraska,1970,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Lawrence Funderburke,206,104,Ohio State University,1970,Columbus,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Chris Garner,178,70,University of Memphis,1975,Memphis,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Derek Grimm,206,104,University of Missouri,1974,Peoria,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Bobby Jackson,185,83,University of Minnesota,1973,East Spencer,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
God Shammgod,183,76,Providence College,1976,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Kebu Stewart,203,108,"California State University, Bakersfield",1973,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Ed Stokes,213,119,University of Arizona,1971,Syracuse,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Johnny Taylor,206,99,University of Tennessee at Chattanooga,1974,Chattanooga,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Eric Washington,193,86,University of Alabama,1974,Pearl,Mississippi,"32.3546679, -89.3985283",32.3546679,-89.3985283
Brandon Williams,198,97,Davidson College,1975,Collinston,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Travis Williams,198,97,South Carolina State University,1969,Columbia,South Carolina,"33.836081, -81.1637245",33.836081,-81.1637245
Mike Bibby,185,86,University of Arizona,1978,Cherry Hill,New Jersey,"40.0583238, -74.4056612",40.0583238,-74.4056612
Antawn Jamison,203,101,University of North Carolina,1976,Shreveport,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Felipe Lopez,196,90,St. John's University,1974,Santo Domingo,Dominican Republic,"18.735693, -70.162651",18.735693,-70.162651
Sean Marks,208,113,University of California,1975,Auckland,New Zealand,"-40.900557, 174.885971",-40.900557,174.885971
Nazr Mohammed,208,100,University of Kentucky,1977,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Michael Olowokandi,213,122,University of the Pacific,1975,Lagos,Nigeria,"9.081999, 8.675277",9.081999,8.675277
Bonzi Wells,196,95,Ball State University,1976,Muncie,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Ryan Bowen,201,97,University of Iowa,1975,Fort Madison,Iowa,"41.8780025, -93.097702",41.8780025,-93.097702
Greg Buckner,193,95,Clemson University,1976,Hopkinsville,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Steve Francis,190,88,University of Maryland,1977,Silver Spring,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Derek Hood,203,100,University of Arkansas,1976,Kansas City,Missouri,"37.9642529, -91.8318334",37.9642529,-91.8318334
Jermaine Jackson,193,92,University of Detroit Mercy,1976,Detroit,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
DeMarco Johnson,193,83,Pepperdine University,1954,San Pedro,California,"36.778261, -119.4179324",36.778261,-119.4179324
Trajan Langdon,190,89,Duke University,1976,Palo Alto,California,"36.778261, -119.4179324",36.778261,-119.4179324
Todd MacCulloch,213,127,University of Washington,1976,Winnipeg,Canada,"56.130366, -106.346771",56.130366,-106.346771
Scott Padgett,206,108,University of Kentucky,1976,Louisville,Kentucky,"37.8393332, -84.2700179",37.8393332,-84.2700179
Aleksandar Radojevic,221,113,Barton County Community College,1976,Herceg Novi,Montenegro,"42.708678, 19.37439",42.708678,19.37439
Jamel Thomas,198,97,Providence College,1973,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Wayne Turner,188,86,University of Kentucky,1976,Boston,Massachusetts,"42.4072107, -71.3824374",42.4072107,-71.3824374
Courtney Alexander,185,83,University of Virginia,1973,Waynesboro,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
DerMarr Johnson,193,83,Pepperdine University,1954,San Pedro,California,"36.778261, -119.4179324",36.778261,-119.4179324
Jerome Moiso,208,106,"University of California, Los Angeles",1978,Paris,France,"46.227638, 2.213749",46.227638,2.213749
Ira Newble,201,99,Miami University,1975,Southfield,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Morris Peterson,201,98,Michigan State University,1977,Flint,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Terrance Roberson,201,97,"California State University, Fresno",1976,Saginaw,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Jamal Robinson,198,95,"University of Nevada, Las Vegas",1955,Los Angeles,California,"36.778261, -119.4179324",36.778261,-119.4179324
Jake Voskuhl,211,111,University of Connecticut,1977,Tulsa,Oklahoma,"35.4675602, -97.5164276",35.4675602,-97.5164276
Brandon Armstrong,196,85,Pepperdine University,1980,San Francisco,California,"36.778261, -119.4179324",36.778261,-119.4179324
Tierre Brown,188,85,McNeese State University,1979,Iowa,Louisiana,"30.9842977, -91.96233269999999",30.9842977,-91.9623327
Jarron Collins,193,88,Florida State University,1973,Jacksonville,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Trenton Hassell,196,90,Austin Peay State University,1979,Clarksville,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Kirk Haston,206,109,Indiana University,1979,Loblesville,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Brendan Haywood,213,121,University of North Carolina,1979,New York,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Steven Hunter,213,99,DePaul University,1981,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Mike James,188,85,Duquesne University,1975,Copaigue,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Terence Morris,206,100,University of Maryland,1979,Frederick,Maryland,"39.0457549, -76.64127119999999",39.0457549,-76.6412712
Jason Richardson,198,99,Michigan State University,1981,Saginaw,Michigan,"44.3148443, -85.60236429999999",44.3148443,-85.6023643
Bobby Simmons,201,95,DePaul University,1980,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
Jamaal Tinsley,190,88,Iowa State University,1978,Brooklyn,New York,"40.7127753, -74.0059728",40.7127753,-74.0059728
Pat Burke,211,113,Auburn University,1973,Dublin,Ireland,"53.1423672, -7.692053599999999",53.1423672,-7.6920536
Reggie Evans,203,111,University of Iowa,1980,Pensacola,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Drew Gooden,208,113,University of Kansas,1981,Oakland,California,"36.778261, -119.4179324",36.778261,-119.4179324
Marcus Haislip,208,104,University of Tennessee,1980,Lewisburg,Tennessee,"35.5174913, -86.5804473",35.5174913,-86.5804473
Junior Harrington,193,81,Wingate University,1980,Wagram,North Carolina,"35.7595731, -79.01929969999999",35.7595731,-79.0192997
Jared Jeffries,211,104,Indiana University,1981,Bloomington,Indiana,"40.2671941, -86.1349019",40.2671941,-86.1349019
Tito Maddox,193,86,"California State University, Fresno",1981,Compton,California,"36.778261, -119.4179324",36.778261,-119.4179324
Roger Mason,196,90,University of Virginia,1980,Washington,District of Columbia,"38.9071923, -77.0368707",38.9071923,-77.0368707
Kareem Rush,198,97,University of Missouri,1980,Kansas City,Missouri,"37.9642529, -91.8318334",37.9642529,-91.8318334
Mike Wilks,178,83,Rice University,1979,Milwaukee,Wisconsin,"43.7844397, -88.7878678",43.7844397,-88.7878678
Jerome Beasley,208,107,University of North Dakota,1980,Compton,California,"36.778261, -119.4179324",36.778261,-119.4179324
Keith Bogans,196,97,University of Kentucky,1980,Alexandria,Virginia,"37.4315734, -78.6568942",37.4315734,-78.6568942
Chris Bosh,211,106,Georgia Institute of Technology,1984,Dallas,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Travis Hansen,198,92,Brigham Young University,1978,Provo,Utah,"39.3209801, -111.0937311",39.3209801,-111.0937311
Udonis Haslem,203,106,University of Florida,1980,Miami,Florida,"27.6648274, -81.5157535",27.6648274,-81.5157535
Brandon Hunter,201,117,Ohio University,1980,Cincinnati,Ohio,"40.4172871, -82.90712300000001",40.4172871,-82.907123
Dahntay Jones,190,83,University of Houston,1976,Galveston,Texas,"31.9685988, -99.9018131",31.9685988,-99.9018131
Dwyane Wade,193,99,Marquette University,1982,Chicago,Illinois,"40.6331249, -89.3985283",40.6331249,-89.3985283
